dataset,model,split,scene,frames,iou,dice,precision,recall,failure,boundary_f1,component_count,pred_gt_area_ratio,bbox_iou
MoCH,ZoomNeXt-CamLock,Test,v_16_16,30,0.22173459467915094,0.3190202014198558,0.3218307057683127,0.3514923423328688,0.6333333333333333,0.08465690089453551,3.6666666666666665,0.859260119035273,0.2543904929345169
MoCH,ZoomNeXt-CamLock,Test,v_16_18,45,0.37854344193072087,0.5222980536540333,0.7103805727221454,0.4504832718095957,0.6888888888888889,0.13462347128747876,2.933333333333333,0.6532546851849729,0.3945334940091152
MoCH,ZoomNeXt-CamLock,Test,v_16_19,25,0.3339148518210162,0.4315310319621184,0.46707695587070824,0.4129875198175016,0.4,0.10505216968186565,4.48,1.1223804382882223,0.26189138862448963
MoCH,ZoomNeXt-CamLock,Test,v_16_19_2,10,0.0,0.0,0.0,0.0,1.0,0.0,2.7,1.653918975320574,0.0
MoCH,ZoomNeXt-CamLock,Test,v_16_3,33,0.0658682237958255,0.12033257253270652,0.06680905076379565,0.8901783501006764,1.0,0.05587006749794429,3.6363636363636362,16.791565187124593,0.0073910358318407384
MoCH,ZoomNeXt-CamLock,Test,v_16_5,28,0.0,0.0,0.0,0.0,1.0,0.0,14.785714285714286,1.9155842265627636,0.018592094236539288
MoCH,ZoomNeXt-CamLock,Train,v_0_1,57,0.49139635338535725,0.6353287012910287,0.6653497038847574,0.6144639143973635,0.17543859649122806,0.09656293764681574,2.9298245614035086,0.9175756192067145,0.49994123456326695
MoCH,ZoomNeXt-CamLock,Train,v_0_2,119,0.14595906606336448,0.1902502218482605,0.19839152608986327,0.2018803727189953,0.8487394957983193,0.05673482374682429,5.067226890756302,7.566081341242288,0.1280342740724602
MoCH,ZoomNeXt-CamLock,Train,v_0_8,75,0.6718878550867646,0.7799872692766648,0.9695307768409286,0.6879430405484098,0.12,0.2644471064345997,3.9466666666666668,0.7100772999987551,0.8314777821387614
MoCH,ZoomNeXt-CamLock,Train,v_12_0,45,0.6934140214974859,0.8040508330455566,0.9529406636858399,0.7151305276488514,0.022222222222222223,0.3376412970952496,1.7777777777777777,0.7489152547916059,0.7035847791093646
MoCH,ZoomNeXt-CamLock,Train,v_12_11,74,0.4433839486480231,0.5473632507903325,0.7176483562439497,0.459830641207329,0.35135135135135137,0.17956711917418436,2.5945945945945947,0.542753190910786,0.31936989808888117
MoCH,ZoomNeXt-CamLock,Train,v_12_12,69,0.8241987657276061,0.8948571312986736,0.9843721686035733,0.8362868107066311,0.014492753623188406,0.4384459560042371,2.710144927536232,0.8501275581741109,0.8369257266624562
MoCH,ZoomNeXt-CamLock,Train,v_12_2,38,0.3356451027894806,0.4763185222780287,0.4075159386079987,0.6665108646771266,0.5789473684210527,0.21925364038327003,2.8157894736842106,2.071901861514723,0.04045743953533282
MoCH,ZoomNeXt-CamLock,Train,v_13_15,50,0.3002796295991287,0.43157234992071386,0.4349227299457986,0.4579349275137106,0.44,0.13073579947457079,5.8,1.2900279839177982,0.28942348516244915
MoCH,ZoomNeXt-CamLock,Train,v_13_16,31,0.34792499519035586,0.38893962972249113,0.35460685870359104,0.4649039193277039,0.5806451612903226,0.2524378811319493,4.387096774193548,1.7852508674042997,0.36707909243686043
MoCH,ZoomNeXt-CamLock,Train,v_13_18,22,0.8904730758893017,0.9418274276183856,0.9215502751671916,0.9639561548528729,0.0,0.5512320194880085,1.5,1.0475454301981484,0.8674417894068435
MoCH,ZoomNeXt-CamLock,Train,v_13_19,42,0.8256015632146918,0.9032259503243439,0.8368113228626529,0.9838183365630455,0.0,0.3758122652060927,2.4523809523809526,1.181688126670484,0.8297804255069203
MoCH,ZoomNeXt-CamLock,Train,v_13_20,54,0.27540508666549807,0.42001643568518854,0.31620046166175475,0.646204444487716,0.5370370370370371,0.18899764340214856,1.8333333333333333,1.9995467590978606,0.3116479382539147
MoCH,ZoomNeXt-CamLock,Train,v_13_21,24,0.6197515869825618,0.7482257520763381,0.7863157556430478,0.7757953664610765,0.0,0.45819539862666914,2.0833333333333335,1.0907143011278093,0.721632947104364
MoCH,ZoomNeXt-CamLock,Train,v_13_22,14,0.669774433332808,0.8021207063081928,0.7080165895194799,0.9272268258689401,0.0,0.24582185497495598,1.4285714285714286,1.3126378476793974,0.8371796563988748
MoCH,ZoomNeXt-CamLock,Train,v_13_23,32,0.7353733710368354,0.8467977679044341,0.9413413303766256,0.7734834824191599,0.0,0.46406965750879126,1.4375,0.8242056024020246,0.7356626829258809
MoCH,ZoomNeXt-CamLock,Train,v_13_29,28,0.36598843368092887,0.4494786206366355,0.3889595845160462,0.6442269174989234,0.5714285714285714,0.1897317286967672,3.5714285714285716,2.030244960413569,0.32970185521425405
MoCH,ZoomNeXt-CamLock,Train,v_13_32,22,0.6353825252259772,0.7713020882783262,0.9403600619103952,0.6574712675312094,0.0,0.25937169274442007,4.681818181818182,0.6979788194367995,0.5553393787595313
MoCH,ZoomNeXt-CamLock,Train,v_13_33,46,0.6785601701363023,0.7722060622842306,0.7888555847408231,0.7706761618175374,0.21739130434782608,0.4940677670558274,1.8043478260869565,0.9648648769789361,0.6172723977790505
MoCH,ZoomNeXt-CamLock,Train,v_13_37,63,0.7799447112232488,0.8752935036059363,0.9424739741813346,0.8202082824056419,0.0,0.5117714019770973,2.253968253968254,0.8719223856033597,0.7404993012581215
